URL,Query
https://en.wikipedia.org/wiki/Icelandic króna,krona
https://en.wikipedia.org/wiki/Korean,korean
https://en.wikipedia.org/wiki/Korea,korean
https://en.wikipedia.org/wiki/Korean language,korean
https://en.wikipedia.org/wiki/Lisbon,lisbon
https://en.wikipedia.org/wiki/1755 Lisbon earthquake,lisbon
https://en.wikipedia.org/wiki/Lisbon Airport,lisbon
https://en.wikipedia.org/wiki/London,london
https://en.wikipedia.org/wiki/Greater London,london
https://en.wikipedia.org/wiki/London Bridge,london
https://en.wikipedia.org/wiki/Latvia,latvia
https://en.wikipedia.org/wiki/Latvians,latvia
https://en.wikipedia.org/wiki/Latvian language,latvia
https://en.wikipedia.org/wiki/Mexico,mexico
https://en.wikipedia.org/wiki/Mexico City,mexico
https://en.wikipedia.org/wiki/New Mexico,mexico
https://en.wikipedia.org/wiki/Mumbai,mumbai
https://en.wikipedia.org/wiki/2008 Mumbai attacks,mumbai
https://en.wikipedia.org/wiki/Delhi–Mumbai Expressway,mumbai
https://en.wikipedia.org/wiki/Maharashtra,maharastra
https://en.wikipedia.org/wiki/Mumbai,maharastra
https://en.wikipedia.org/wiki/Jai Jai Maharashtra Maza,maharastra
https://en.wikipedia.org/wiki/Mexican,mexican
https://en.wikipedia.org/wiki/Mexico,mexican
https://en.wikipedia.org/wiki/Mexican–American War,mexican
https://en.wikipedia.org/wiki/Mouse,mouse
https://en.wikipedia.org/wiki/Mickey Mouse,mouse
https://en.wikipedia.org/wiki/To a Mouse,mouse
https://en.wikipedia.org/wiki/Madrid,madrid
https://en.wikipedia.org/wiki/Real Madrid CF,madrid
https://en.wikipedia.org/wiki/Atlético Madrid,madrid
https://en.wikipedia.org/wiki/Nepal,nepal
https://en.wikipedia.org/wiki/Religion in Nepal,nepal
https://en.wikipedia.org/wiki/Dipendra of Nepal,nepal
https://en.wikipedia.org/wiki/Norway,norway
https://en.wikipedia.org/wiki/Norwegians,norway
https://en.wikipedia.org/wiki/Norwegian,norway
https://en.wikipedia.org/wiki/Norwegian,norwegian
https://en.wikipedia.org/wiki/Norway,norwegian
https://en.wikipedia.org/wiki/Norwegian language,norwegian
https://en.wikipedia.org/wiki/Nigeria,nigeria
https://en.wikipedia.org/wiki/Nigerians,nigeria
https://en.wikipedia.org/wiki/Federal government of Nigeria,nigeria
https://en.wikipedia.org/wiki/Nigerian naira,naira
https://en.wikipedia.org/wiki/Naira Marley,naira
https://en.wikipedia.org/wiki/Nigerian one-thousand-naira note,naira
https://en.wikipedia.org/wiki/Nairobi,nairobi
https://en.wikipedia.org/wiki/Nairobi DusitD2 complex attack,nairobi
https://en.wikipedia.org/wiki/Westgate shopping mall attack,nairobi
https://en.wikipedia.org/wiki/Netherlands,netherlands
https://en.wikipedia.org/wiki/Kingdom of the Netherlands,netherlands
https://en.wikipedia.org/wiki/Netherlands national football team,netherlands
https://en.wikipedia.org/wiki/Ottawa,ottawa
https://en.wikipedia.org/wiki/Ottawa Senators,ottawa
https://en.wikipedia.org/wiki/Canada convoy protest,ottawa
https://en.wikipedia.org/wiki/Odisha,odisha
https://en.wikipedia.org/wiki/Odisha FC,odisha
https://en.wikipedia.org/wiki/Odisha Legislative Assembly,odisha
https://en.wikipedia.org/wiki/Oslo,oslo
https://en.wikipedia.org/wiki/University of Oslo,oslo
https://en.wikipedia.org/wiki/Paris,paris
https://en.wikipedia.org/wiki/Paris Hilton,paris
https://en.wikipedia.org/wiki/Punjab,punjab
"https://en.wikipedia.org/wiki/Punjab, India",punjab
"https://en.wikipedia.org/wiki/Punjab, Pakistan",punjab
https://en.wikipedia.org/wiki/Poland,poland
https://en.wikipedia.org/wiki/Invasion of Poland,poland
https://en.wikipedia.org/wiki/Kingdom of Poland,poland
https://en.wikipedia.org/wiki/Pakistan,pakistan
https://en.wikipedia.org/wiki/Pakistan Super League,pakistan
"https://en.wikipedia.org/wiki/Punjab, Pakistan",pakistan
https://en.wikipedia.org/wiki/Portuguese,portuguese
https://en.wikipedia.org/wiki/Portuguese language,portuguese
https://en.wikipedia.org/wiki/Portugal,portuguese
https://en.wikipedia.org/wiki/Polish,polish
https://en.wikipedia.org/wiki/Polish language,polish
https://en.wikipedia.org/wiki/Polish people,polish
https://en.wikipedia.org/wiki/Peso,peso
https://en.wikipedia.org/wiki/Philippine peso,peso
https://en.wikipedia.org/wiki/Mexican peso,peso
https://en.wikipedia.org/wiki/Panaji,panaji
https://en.wikipedia.org/wiki/Goa,panaji
https://en.wikipedia.org/wiki/Reserve Bank of India,panaji
https://en.wikipedia.org/wiki/Patna,patna
https://en.wikipedia.org/wiki/IIT Patna,patna
https://en.wikipedia.org/wiki/Patna Metro,patna
https://en.wikipedia.org/wiki/Portugal,portugal
https://en.wikipedia.org/wiki/Portuguese language,portugal
https://en.wikipedia.org/wiki/Portuguese,portugal
https://en.wikipedia.org/wiki/Quito,quito
https://en.wikipedia.org/wiki/L.D.U. Quito,quito
https://en.wikipedia.org/wiki/Qatar,qatar
https://en.wikipedia.org/wiki/Qatar Airways,qatar
https://en.wikipedia.org/wiki/2022 FIFA World Cup,qatar
https://en.wikipedia.org/wiki/Riga,riga
https://en.wikipedia.org/wiki/The Dogs of Riga,riga
https://en.wikipedia.org/wiki/Riga International Airport,riga
https://en.wikipedia.org/wiki/Russian,russian
https://en.wikipedia.org/wiki/Russia,russian
https://en.wikipedia.org/wiki/Russians,russian
https://en.wikipedia.org/wiki/Real,real
https://en.wikipedia.org/wiki/Real Madrid CF,real
https://en.wikipedia.org/wiki/Real Real Real,real
https://en.wikipedia.org/wiki/Rome,rome
https://en.wikipedia.org/wiki/No Rome,rome
https://en.wikipedia.org/wiki/Ancient Rome,rome
https://en.wikipedia.org/wiki/Rupee,rupee
https://en.wikipedia.org/wiki/Indian rupee,rupee
https://en.wikipedia.org/wiki/Indian rupee sign,rupee
https://en.wikipedia.org/wiki/Ruble,ruble
https://en.wikipedia.org/wiki/Russian ruble,ruble
https://en.wikipedia.org/wiki/Soviet ruble,ruble
https://en.wikipedia.org/wiki/Raipur,raipur
https://en.wikipedia.org/wiki/Naya Raipur,raipur
https://en.wikipedia.org/wiki/Qila Raipur,raipur
https://en.wikipedia.org/wiki/Ranchi,ranchi
https://en.wikipedia.org/wiki/Jharkhand,ranchi
https://en.wikipedia.org/wiki/Ranchi University,ranchi
https://en.wikipedia.org/wiki/Russia,russia
https://en.wikipedia.org/wiki/Russians,russia
https://en.wikipedia.org/wiki/2022 Russian invasion of Ukraine,russia
https://en.wikipedia.org/wiki/Rial,rial
https://en.wikipedia.org/wiki/Monica Rial,rial
https://en.wikipedia.org/wiki/Iranian rial,rial
https://en.wikipedia.org/wiki/Rajasthan,rajasthan
https://en.wikipedia.org/wiki/Rajasthan Royals,rajasthan
https://en.wikipedia.org/wiki/Rajasthan High Court,rajasthan
https://en.wikipedia.org/wiki/Swedish,swedish
https://en.wikipedia.org/wiki/Sweden,swedish
https://en.wikipedia.org/wiki/Swedish language,swedish
https://en.wikipedia.org/wiki/Spain,spain
https://en.wikipedia.org/wiki/Spanish,spain
https://en.wikipedia.org/wiki/Spain national football team,spain
https://en.wikipedia.org/wiki/Stockholm,stockholm
https://en.wikipedia.org/wiki/Stockholm syndrome,stockholm
"https://en.wikipedia.org/wiki/Stockholm, Wisconsin",stockholm
https://en.wikipedia.org/wiki/Slovakia,slovakia
https://en.wikipedia.org/wiki/Slovaks,slovakia
https://en.wikipedia.org/wiki/Czechoslovakia,slovakia
https://en.wikipedia.org/wiki/Spanish,spanish
https://en.wikipedia.org/wiki/Spain,spanish
https://en.wikipedia.org/wiki/Spanish Empire,spanish
https://en.wikipedia.org/wiki/Squeak,squeak
https://en.wikipedia.org/wiki/Squeak!,squeak
https://en.wikipedia.org/wiki/Bubble and squeak,squeak
https://en.wikipedia.org/wiki/Sudan,sudan
https://en.wikipedia.org/wiki/South Sudan,sudan
https://en.wikipedia.org/wiki/The Sudans,sudan
https://en.wikipedia.org/wiki/Syria,syria
https://en.wikipedia.org/wiki/Syrian civil war,syria
https://en.wikipedia.org/wiki/2023 Turkey–Syria earthquake,syria
https://en.wikipedia.org/wiki/Slovak,slovakian
https://en.wikipedia.org/wiki/Slovakia,slovakian
https://en.wikipedia.org/wiki/Slovak language,slovakian
https://en.wikipedia.org/wiki/Swiss,swiss
https://en.wikipedia.org/wiki/Swiss International Air Lines,swiss
https://en.wikipedia.org/wiki/Switzerland,swiss
https://en.wikipedia.org/wiki/Switzerland,switzerland
https://en.wikipedia.org/wiki/Swiss,switzerland
https://en.wikipedia.org/wiki/Swiss Hitparade,switzerland
https://en.wikipedia.org/wiki/Sweden,sweden
https://en.wikipedia.org/wiki/Swedish language,sweden
https://en.wikipedia.org/wiki/Swedish,sweden
https://en.wikipedia.org/wiki/Serbia,serbia
https://en.wikipedia.org/wiki/Serbs,serbia
https://en.wikipedia.org/wiki/Serbia and Montenegro,serbia
https://en.wikipedia.org/wiki/Tripura,tripura
https://en.wikipedia.org/wiki/2023 Tripura Legislative Assembly election,tripura
https://en.wikipedia.org/wiki/List of chief ministers of Tripura,tripura
https://en.wikipedia.org/wiki/Telangana,telengana
https://en.wikipedia.org/wiki/Telangana Rebellion,telengana
https://en.wikipedia.org/wiki/Bharat Rashtra Samithi,telengana
https://en.wikipedia.org/wiki/Trumpet,trumpet
https://en.wikipedia.org/wiki/Seven trumpets,trumpet
https://en.wikipedia.org/wiki/Trumpet tree,trumpet
https://en.wikipedia.org/wiki/Thiruvananthapuram,thiruvananthapuram
https://en.wikipedia.org/wiki/Thiruvananthapuram International Airport,thiruvananthapuram
https://en.wikipedia.org/wiki/Thiruvananthapuram–Angamaly Greenfield Highway,thiruvananthapuram
https://en.wikipedia.org/wiki/Thailand,thailand
https://en.wikipedia.org/wiki/Thai,thailand
https://en.wikipedia.org/wiki/Siamese,thailand
https://en.wikipedia.org/wiki/Tokyo,tokyo
https://en.wikipedia.org/wiki/Tokyo Tokyo,tokyo
https://en.wikipedia.org/wiki/Tokyo!,tokyo
https://en.wikipedia.org/wiki/Tehran,tehran
https://en.wikipedia.org/wiki/Tehran Metro,tehran
https://en.wikipedia.org/wiki/Tehran (TV series),tehran
https://en.wikipedia.org/wiki/Thai,thai
https://en.wikipedia.org/wiki/Thailand,thai
https://en.wikipedia.org/wiki/Thai language,thai
https://en.wikipedia.org/wiki/Ukraine,ukraine
https://en.wikipedia.org/wiki/Russo-Ukrainian War,ukraine
https://en.wikipedia.org/wiki/2022 Russian invasion of Ukraine,ukraine
https://en.wikipedia.org/wiki/United States,usa
https://en.wikipedia.org/wiki/USA Today,usa
https://en.wikipedia.org/wiki/Uṣā,usa
https://en.wikipedia.org/wiki/Vietnam,vietnam
https://en.wikipedia.org/wiki/Vietnam War,vietnam
https://en.wikipedia.org/wiki/Vietnam! Vietnam!,vietnam
https://en.wikipedia.org/wiki/Japanese yen,yen
https://en.wikipedia.org/wiki/Donnie Yen,yen
